status	key	command
Precomposition	Backspace	Revert
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Prediction	Ctrl [	CancelAndIMEOff
Suggestion	Ctrl [	CancelAndIMEOff
Composition	Ctrl [	CancelAndIMEOff
Conversion	Ctrl [	CancelAndIMEOff
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl b	MoveCursorLeft
Conversion	Ctrl b	SegmentWidthShrink
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl Backspace	Backspace
Conversion	Ctrl Backspace	Cancel
Composition	Ctrl c	CancelAndIMEOff
Conversion	Ctrl c	Cancel
Composition	Ctrl d	Delete
Conversion	Ctrl d	SegmentFocusRight
Prediction	Ctrl Delete	DeleteSelectedCandidate
Composition	Ctrl Down	MoveCursorToEnd
Conversion	Ctrl Down	CommitOnlyFirstSegment
Composition	Ctrl e	MoveCursorToEnd
Conversion	Ctrl e	ConvertPrev
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Composition	Ctrl f	MoveCursorRight
Conversion	Ctrl f	SegmentWidthExpand
Prediction	Ctrl g	CancelAndIMEOff
Suggestion	Ctrl g	CancelAndIMEOff
Composition	Ctrl g	CancelAndIMEOff
Conversion	Ctrl g	CancelAndIMEOff
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl i	PredictAndConvert
Conversion	Ctrl i	CommitOnlyFirstSegment
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl n	ConvertNext
Conversion	Ctrl n	ConvertNext
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertPrev
Conversion	Ctrl p	ConvertPrev
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl s	MoveCursorLeft
Conversion	Ctrl s	SegmentFocusLeft
Precomposition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Composition	Ctrl t	ConvertToHalfAlphanumeric
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Composition	Ctrl Up	MoveCursorToBeginning
Conversion	Ctrl Up	ConvertPrev
Composition	Ctrl w	Backspace
Conversion	Ctrl w	Delete
Composition	Ctrl x	MoveCursorToEnd
Conversion	Ctrl x	ConvertNext
Composition	Ctrl z	Cancel
Conversion	Ctrl z	Cancel
Composition	Delete	Delete
Conversion	Delete	Cancel
Suggestion	Down	PredictAndConvert
Composition	Down	MoveCursorToEnd
Conversion	Down	ConvertNext
DirectInput	Eisu	IMEOn
Precomposition	Eisu	ToggleAlphanumericMode
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Composition	End	MoveCursorToEnd
Conversion	End	SegmentFocusLast
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	ESC	CancelAndIMEOff
Conversion	ESC	Cancel
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
DirectInput	F13	IMEOn
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
